config                    DashsTrack              Heritage                Lenard             TowneLake   totals (tee, basket, FP)
default             t18/18 b18/18 +0       t0/18 b15/18 +0       t0/18 b0/18 +17       t0/18 b18/18 +0   18/72, 51/72, +17
badgeExcl           t18/18 b18/18 +0       t0/18 b15/18 +0       t0/18 b16/18 +0       t0/18 b18/18 +0   18/72, 67/72, +0
teeArea.07          t18/18 b18/18 +0       t0/18 b15/18 +0       t0/18 b0/18 +17      t10/18 b18/18 +0   28/72, 51/72, +17
teeArea.06          t18/18 b18/18 +0       t0/18 b15/18 +0       t0/18 b0/18 +17      t10/18 b18/18 +0   28/72, 51/72, +17
teeArea.05          t18/18 b18/18 +0       t0/18 b15/18 +0       t0/18 b0/18 +17      t10/18 b18/18 +0   28/72, 51/72, +17
bFill.30            t18/18 b18/18 +0       t0/18 b15/18 +0       t0/18 b0/18 +17       t0/18 b0/18 +19   18/72, 33/72, +36
bFill.26            t18/18 b18/18 +0       t0/18 b15/18 +0       t0/18 b0/18 +17       t0/18 b0/18 +19   18/72, 33/72, +36
bAspect1.05         t18/18 b18/18 +0       t0/18 b0/18 +16       t0/18 b0/18 +24       t0/18 b0/18 +20   18/72, 18/72, +60
combo               t18/18 b18/18 +0       t0/18 b15/18 +0      t11/18 b16/18 +1      t10/18 b18/18 +0   39/72, 67/72, +1
combo+aspect        t18/18 b18/18 +0       t0/18 b15/18 +0      t11/18 b16/18 +1      t10/18 b18/18 +0   39/72, 67/72, +1
combo+md.35         t18/18 b18/18 +0       t8/18 b15/18 +0      t16/18 b16/18 +3      t16/18 b18/18 +0   58/72, 67/72, +3
combo+md.30         t18/18 b18/18 +0       t8/18 b15/18 +0      t16/18 b16/18 +3      t16/18 b18/18 +0   58/72, 67/72, +3
combo+md.28         t18/18 b18/18 +0       t8/18 b15/18 +0      t16/18 b16/18 +3      t16/18 b18/18 +0   58/72, 67/72, +3
combo+md.30+m.04      t18/18 b18/18 +0       t8/18 b15/18 +0      t16/18 b16/18 +3      t16/18 b18/18 +0   58/72, 67/72, +3

defaults: teeAreaVsBasketMin=0.09, basketPoolFillMin=0.4, basketPoolAspectMin=1.25, badge exclusion off
